market,korean_name,english_name,market_warning,trade_price,acc_trade_price_24h,signed_change_rate,signed_change_price,trade_timestamp
KRW-XPL,플라즈마,Plasma,,134.0,3979097340.408115,0,,1772283977322
KRW-MASK,마스크네트워크,Mask Network,,586.0,259874474.0578964,-0.0563607085,,1772283363807
KRW-COMP,컴파운드,Compound,,25490.0,311730450.7097107,-0.0548757879,,1772283879051
KRW-ZETA,제타체인,ZetaChain,,73.0,846921935.4121851,-0.0305444887,,1772283804702
KRW-RED,레드스톤,RedStone,,221.0,3243070521.4863935,-0.0829875519,,1772283988258
KRW-TIA,셀레스티아,Celestia,,440.0,320247853.7621926,-0.0598290598,,1772283980881
KRW-ADA,에이다,Ada,,387.0,15684970480.739374,-0.0444444444,,1772283981205
KRW-ELF,엘프,aelf,,113.0,2972237898.6939163,0,,1772283985366
KRW-STEEM,스팀,Steem,,79.0,10073465501.38477,-0.1222222222,,1772283977003
KRW-ELSA,헤이엘사,HeyElsa,,111.0,4232676868.2705946,-0.0975609756,,1772283985047
KRW-SOPH,소폰,Sophon,,14.1,21125762366.728867,0.0681818182,,1772283988573
KRW-MED,메디블록,MediBloc,,3.47,1646674345.6421776,0.0389221557,,1772283968607
KRW-1INCH,1인치네트워크,1inch Network,,128.0,363474289.7213807,-0.0447761194,,1772283625737
KRW-MEW,캣인어독스월드,cat in a dogs world,,0.812,717478926.8989185,-0.0590961761,,1772283960486
KRW-ORBS,오브스,Orbs,,20.3,116451419213.8612,0.26875,,1772283989227
KRW-RENDER,렌더토큰,Render Token,,1915.0,1734061115.1490858,-0.0735365264,,1772283962117
KRW-STG,스타게이트파이낸스,Stargate Finance,,198.0,552630636.2808038,-0.0480769231,,1772283879375
KRW-ORCA,오르카,Orca,,1272.0,1182589438.6604545,-0.0230414747,,1772283967632
KRW-BERA,베라체인,Berachain,,859.0,19693695727.379753,-0.005787037,,1772283986320
KRW-SIGN,사인,Sign,,38.6,111959029081.58115,0.081232493,,1772283986005
KRW-VANA,바나,Vana,,2027.0,1326062555.4890144,-0.047462406,,1772283984085
KRW-DOT,폴카닷,Polkadot,,2160.0,5131685294.11596,-0.0761334474,,1772283982163
KRW-MET2,메테오라,Meteora,,253.0,265194657.0691684,-0.0524344569,,1772283426067
KRW-MBL,무비블록,MovieBloc,,1.31,2424656566.062183,-0.0075757576,,1772283795603
KRW-FLUID,플루이드,Fluid,,3046.0,1027186375.0295055,-0.0457393484,,1772283977641
KRW-BIGTIME,빅타임,Big Time,,19.6,1109573103.412124,-0.0531400966,,1772283895699
KRW-SNT,스테이터스네트워크토큰,Status Network Token,,14.9,299603689.47203916,-0.0387096774,,1772283333850
KRW-SOL,솔라나,Solana,,115700.0,65685885687.21219,-0.0326086957,,1772283989228
KRW-QKC,쿼크체인,QuarkChain,,4.7,317963971.83028877,-0.0368852459,,1772283967634
KRW-META,메타디움,Metadium,,13.9,1422215133.9895794,0,,1772283852723
KRW-SAHARA,사하라에이아이,Sahara AI,,27.8,166230099648.90674,-0.1524390244,,1772283990192
KRW-MLK,밀크,MiL.k,,80.9,14594309397.776552,0.0188916877,,1772283982481
KRW-SXP,솔라,SXP,,33.3,15449289116.51969,-0.0698324022,,1772283972486
KRW-VTHO,비토르토큰,VeThor Token,,0.828,1906064970.065902,-0.0537142857,,1772283988578
KRW-KITE,카이트,Kite,,363.0,29669626547.509033,0.0583090379,,1772283987295
KRW-MINA,미나,Mina,,79.4,700663230.5432928,-0.061465721,,1772283916355
KRW-MMT,모멘텀,Momentum,,165.0,777827276.5727435,-0.0677966102,,1772283894104
KRW-ZORA,조라,Zora,,26.2,1587216027.4120567,-0.0367647059,,1772283938965
KRW-GAS,가스,GAS,,2228.0,1401302257.3100967,-0.0450064295,,1772283881005
KRW-MNT,맨틀,Mantle,,904.0,363549815.4575016,-0.0269106566,,1772283982165
KRW-MOC,모스코인,Moss Coin,,40.4,1405872978.453292,-0.0049261084,,1772283978953
KRW-MOODENG,무뎅,Moo Deng,,68.1,1104718794.2412481,-0.0696721311,,1772283960490
KRW-XEC,이캐시,eCash,,0.0101,960738147.4507338,-0.0648148148,,1772283967636
KRW-MON,모나드,Monad,,29.1,2000926765.6744153,-0.0364238411,,1772283977325
